dt_notificacao;ano_notificacao;mes_notificacao;cd_municipio;município;CEP;qntd_casos;qntd_hospitalizacao;qntd_resultado_soro;qntd_resultado_ns1;qntd_resultado_pcr;qntd_auctone;qntd_febre;qntd_vomito;qntd_nausea;qntd_sangramento
01/01/2022;2022;1;350950;Campinas;13010091;52;1;17;9;0;0;51;6;11;0
01/02/2022;2022;2;350950;Campinas;13010091;145;11;24;59;1;0;136;26;47;0
01/03/2022;2022;3;350950;Campinas;13010091;1171;49;197;493;7;0;1129;212;315;0
01/04/2022;2022;4;350950;Campinas;13010091;4222;104;81;1224;12;0;4116;926;1193;0
01/05/2022;2022;5;350950;Campinas;13010091;4380;91;263;922;8;0;4274;936;1225;0
01/06/2022;2022;6;350950;Campinas;13010091;1385;23;72;219;2;0;1379;273;375;0
01/07/2022;2022;7;350950;Campinas;13010091;434;12;48;75;1;0;431;108;130;0
01/08/2022;2022;8;350950;Campinas;13010091;260;3;24;36;0;0;260;78;89;0
01/09/2022;2022;9;350950;Campinas;13010091;128;1;23;24;0;0;128;26;35;0
01/10/2022;2022;10;350950;Campinas;13010091;104;6;14;15;0;0;103;26;37;0
01/11/2022;2022;11;350950;Campinas;13010091;74;2;9;16;0;0;72;6;12;0
01/12/2022;2022;12;350950;Campinas;13010091;95;4;13;23;0;0;94;23;24;0
01/01/2023;2023;1;350950;Campinas;13010091;154;2;16;24;0;139;152;35;43;0
01/02/2023;2023;2;350950;Campinas;13010091;543;15;87;82;1;505;531;127;166;0
01/03/2023;2023;3;350950;Campinas;13010091;2699;40;141;306;5;2615;2664;591;683;0
01/04/2023;2023;4;350950;Campinas;13010091;2921;50;188;567;10;2788;2889;623;756;0
01/05/2023;2023;5;350950;Campinas;13010091;2848;49;150;527;8;2737;2831;620;710;0
01/06/2023;2023;6;350950;Campinas;13010091;994;26;55;184;5;940;983;243;311;0
01/07/2023;2023;7;350950;Campinas;13010091;188;9;24;30;1;175;187;52;64;0
01/08/2023;2023;8;350950;Campinas;13010091;168;9;29;33;0;148;167;34;52;0
01/09/2023;2023;9;350950;Campinas;13010091;155;3;30;24;0;142;153;42;53;0
01/10/2023;2023;10;350950;Campinas;13010091;237;8;22;49;0;224;235;56;68;0
01/11/2023;2023;11;350950;Campinas;13010091;505;13;16;93;1;481;498;125;158;0
01/12/2023;2023;12;350950;Campinas;13010091;669;28;16;170;2;628;659;156;226;0
01/01/2024;2024;1;350950;Campinas;13010091;3331;108;106;765;24;3190;3300;812;1136;0
01/02/2024;2024;2;350950;Campinas;13010091;11196;278;169;1461;44;10688;10617;2517;3486;0
01/03/2024;2024;3;350950;Campinas;13010091;26190;854;332;3837;114;25010;24609;5671;7236;0
01/04/2024;2024;4;350950;Campinas;13010091;35931;1395;437;6406;60;33905;33156;7689;10162;0
01/05/2024;2024;5;350950;Campinas;13010091;33589;1442;454;7551;17;30255;29501;6923;9372;0
01/06/2024;2024;6;350950;Campinas;13010091;13144;519;224;2792;5;11601;11502;2713;3533;0
01/07/2024;2024;7;350950;Campinas;13010091;3609;128;81;717;1;3060;3261;843;1046;0
01/08/2024;2024;8;350950;Campinas;13010091;2251;53;54;191;0;1066;2121;654;615;0
01/09/2024;2024;9;350950;Campinas;13010091;488;12;7;26;0;168;452;136;118;0
01/01/2022;2022;1;352210;Itanhaém;11740000;3;0;3;0;0;0;3;0;0;0
01/02/2022;2022;2;352210;Itanhaém;11740000;1;0;1;0;0;0;1;0;1;0
01/03/2022;2022;3;352210;Itanhaém;11740000;9;0;4;5;0;0;9;1;2;0
01/04/2022;2022;4;352210;Itanhaém;11740000;24;0;17;11;0;0;23;5;11;0
01/05/2022;2022;5;352210;Itanhaém;11740000;30;1;15;17;0;0;25;3;10;0
01/06/2022;2022;6;352210;Itanhaém;11740000;15;0;6;10;0;0;15;3;6;0
01/07/2022;2022;7;352210;Itanhaém;11740000;5;0;2;3;0;0;4;1;3;0
01/08/2022;2022;8;352210;Itanhaém;11740000;1;0;1;0;0;0;1;0;0;0
01/09/2022;2022;9;352210;Itanhaém;11740000;3;0;2;1;0;0;3;1;2;0
01/10/2022;2022;10;352210;Itanhaém;11740000;2;0;2;0;0;0;2;0;1;0
01/11/2022;2022;11;352210;Itanhaém;11740000;2;0;0;1;0;0;2;0;1;0
01/12/2022;2022;12;352210;Itanhaém;11740000;1;0;0;1;0;0;1;0;0;0
01/01/2023;2023;1;352210;Itanhaém;11740000;29;0;3;0;0;14;25;7;11;0
01/02/2023;2023;2;352210;Itanhaém;11740000;34;0;1;0;0;32;30;4;12;0
01/03/2023;2023;3;352210;Itanhaém;11740000;38;0;2;0;0;37;35;8;10;0
01/04/2023;2023;4;352210;Itanhaém;11740000;8;0;5;0;0;7;8;2;2;0
01/05/2023;2023;5;352210;Itanhaém;11740000;12;0;8;0;0;11;9;4;8;0
01/06/2023;2023;6;352210;Itanhaém;11740000;7;0;5;0;0;6;7;0;3;0
01/07/2023;2023;7;352210;Itanhaém;11740000;7;0;6;1;0;6;5;2;2;0
01/08/2023;2023;8;352210;Itanhaém;11740000;3;0;3;0;0;3;2;1;0;0
01/09/2023;2023;9;352210;Itanhaém;11740000;3;0;1;0;0;3;3;0;1;0
01/10/2023;2023;10;352210;Itanhaém;11740000;5;0;1;0;0;2;4;3;3;0
01/11/2023;2023;11;352210;Itanhaém;11740000;3;0;1;0;0;2;2;0;0;0
01/12/2023;2023;12;352210;Itanhaém;11740000;6;0;6;0;0;5;6;1;4;0
01/01/2024;2024;1;352210;Itanhaém;11740000;21;0;16;0;0;20;21;6;9;0
01/02/2024;2024;2;352210;Itanhaém;11740000;150;5;94;10;1;135;141;36;65;0
01/03/2024;2024;3;352210;Itanhaém;11740000;450;8;234;8;2;425;419;128;168;0
01/04/2024;2024;4;352210;Itanhaém;11740000;2503;29;653;18;1;2351;2114;533;1024;0
01/05/2024;2024;5;352210;Itanhaém;11740000;2434;47;210;4;2;2043;1918;386;918;0
01/06/2024;2024;6;352210;Itanhaém;11740000;135;11;1;0;0;124;122;42;64;0
01/07/2024;2024;7;352210;Itanhaém;11740000;39;3;9;3;0;36;36;10;23;0
01/08/2024;2024;8;352210;Itanhaém;11740000;24;1;4;0;0;9;18;8;7;0
01/09/2024;2024;9;352210;Itanhaém;11740000;2;1;0;0;0;0;2;2;2;0
01/01/2022;2022;1;352340;Itatiba;13252300;2;0;0;0;0;0;1;1;1;0
01/02/2022;2022;2;352340;Itatiba;13252300;8;0;2;0;0;0;7;4;2;0
01/03/2022;2022;3;352340;Itatiba;13252300;28;0;20;0;0;0;21;5;10;0
01/04/2022;2022;4;352340;Itatiba;13252300;90;0;77;12;0;0;72;20;36;0
01/05/2022;2022;5;352340;Itatiba;13252300;92;0;79;11;0;0;76;33;51;0
01/06/2022;2022;6;352340;Itatiba;13252300;17;0;15;2;0;0;14;4;11;0
01/07/2022;2022;7;352340;Itatiba;13252300;1;0;1;0;0;0;1;1;1;0
01/08/2022;2022;8;352340;Itatiba;13252300;1;0;1;0;0;0;1;1;1;0
01/09/2022;2022;9;352340;Itatiba;13252300;0;0;0;0;0;0;0;0;0;0
01/10/2022;2022;10;352340;Itatiba;13252300;1;0;0;0;0;0;0;0;0;0
01/11/2022;2022;11;352340;Itatiba;13252300;1;0;0;0;0;0;1;1;1;0
01/12/2022;2022;12;352340;Itatiba;13252300;0;0;0;0;0;0;0;0;0;0
01/01/2023;2023;1;352340;Itatiba;13252300;0;0;0;0;0;0;0;0;0;0
01/02/2023;2023;2;352340;Itatiba;13252300;1;0;1;0;0;0;1;1;0;0
01/03/2023;2023;3;352340;Itatiba;13252300;8;1;7;1;0;4;8;3;4;0
01/04/2023;2023;4;352340;Itatiba;13252300;11;0;6;1;0;2;10;2;5;0
01/05/2023;2023;5;352340;Itatiba;13252300;26;1;22;3;0;11;22;14;15;0
01/06/2023;2023;6;352340;Itatiba;13252300;10;0;7;2;1;4;7;3;6;0
01/07/2023;2023;7;352340;Itatiba;13252300;3;0;3;0;0;0;2;2;2;0
01/08/2023;2023;8;352340;Itatiba;13252300;1;0;0;0;0;0;0;0;0;0
01/09/2023;2023;9;352340;Itatiba;13252300;2;0;0;1;0;1;0;0;0;0
01/10/2023;2023;10;352340;Itatiba;13252300;0;0;0;0;0;0;0;0;0;0
01/11/2023;2023;11;352340;Itatiba;13252300;1;0;0;1;0;1;1;0;1;0
01/12/2023;2023;12;352340;Itatiba;13252300;3;0;2;1;0;1;2;0;0;0
