id,localizacao,dia_hora,co2,poeira_1,poeira_2,pressao,umidade,temperatura,altitude
13,Litoral,"2025-09-25 21:31:00",1461.47,NULL,NULL,94333.35,55.00,27.40,654.30
14,Litoral,"2025-09-25 21:31:05",1434.76,NULL,NULL,94333.98,55.00,27.39,654.24
15,Litoral,"2025-09-25 21:31:10",1434.76,NULL,NULL,94337.34,55.00,27.39,653.94
16,Litoral,"2025-09-25 21:31:16",1434.76,NULL,NULL,94340.64,55.00,27.42,653.65
17,Litoral,"2025-09-25 21:31:20",1434.76,NULL,NULL,94338.26,55.00,27.41,653.86
18,Litoral,"2025-09-26 18:53:49",512.36,NULL,NULL,93871.05,59.00,24.66,695.11
19,Litoral,"2025-09-26 18:53:53",519.80,NULL,NULL,93869.25,59.00,24.67,695.27
20,Litoral,"2025-09-26 18:53:59",502.56,NULL,NULL,93867.73,59.00,24.67,695.40
21,Litoral,"2025-09-26 18:54:03",496.52,NULL,NULL,93871.53,59.00,24.66,695.07
22,Litoral,"2025-09-26 19:13:31",486.97,NULL,NULL,93882.21,55.00,26.12,694.12
23,Litoral,"2025-09-26 19:13:37",491.73,NULL,NULL,93880.50,55.00,26.14,694.27
24,Litoral,"2025-09-26 19:13:41",489.34,NULL,NULL,93883.55,55.00,26.15,694.00
25,Litoral,"2025-09-26 19:13:47",490.53,NULL,NULL,93884.58,55.00,26.15,693.91
26,Litoral,"2025-09-26 19:18:43",467.17,NULL,NULL,93883.78,54.00,26.41,693.98
27,Litoral,"2025-09-26 19:18:48",479.90,NULL,NULL,93885.67,54.00,26.42,693.82
28,Litoral,"2025-09-26 19:18:48",479.90,NULL,NULL,93885.67,54.00,26.42,693.82
29,Litoral,"2025-09-26 19:18:53",469.46,NULL,NULL,93882.82,54.00,26.42,694.07
30,Litoral,"2025-09-26 19:18:53",469.46,NULL,NULL,93882.82,54.00,26.42,694.07
31,Litoral,"2025-09-26 19:18:58",461.47,NULL,NULL,93881.91,54.00,26.41,694.15
32,Litoral,"2025-09-26 19:18:58",461.47,NULL,NULL,93881.91,54.00,26.41,694.15
33,Litoral,"2025-09-26 19:19:03",472.92,NULL,NULL,93883.08,54.00,26.40,694.04
34,Litoral,"2025-09-26 19:19:03",472.92,NULL,NULL,93883.08,54.00,26.40,694.04
35,Litoral,"2025-09-26 19:19:08",467.17,NULL,NULL,93883.80,54.00,26.42,693.98
36,Litoral,"2025-09-26 19:19:08",467.17,NULL,NULL,93883.80,54.00,26.42,693.98
37,Litoral,"2025-09-26 19:19:13",470.61,NULL,NULL,93883.92,54.00,26.44,693.97
38,Litoral,"2025-09-26 19:19:13",470.61,NULL,NULL,93883.92,54.00,26.44,693.97
39,Litoral,"2025-09-26 19:19:18",474.08,NULL,NULL,93881.22,54.00,26.43,694.21
40,Litoral,"2025-09-26 19:19:18",474.08,NULL,NULL,93881.22,54.00,26.43,694.21
41,Litoral,"2025-09-26 19:19:23",474.08,NULL,NULL,93879.75,54.00,26.44,694.34
42,Litoral,"2025-09-26 19:19:23",474.08,NULL,NULL,93879.75,54.00,26.44,694.34
43,Litoral,"2025-09-26 19:19:28",462.60,NULL,NULL,93879.23,54.00,26.44,694.39
44,Litoral,"2025-09-26 19:19:28",462.60,NULL,NULL,93879.23,54.00,26.44,694.39
45,Litoral,"2025-09-26 19:19:33",469.46,NULL,NULL,93880.78,54.00,26.45,694.25
46,Litoral,"2025-09-26 19:19:33",469.46,NULL,NULL,93880.78,54.00,26.45,694.25
47,Litoral,"2025-09-26 19:19:38",454.70,NULL,NULL,93883.63,54.00,26.47,694.00
48,Litoral,"2025-09-26 19:19:38",454.70,NULL,NULL,93883.63,54.00,26.47,694.00
49,Litoral,"2025-09-26 19:19:43",478.73,NULL,NULL,93880.24,55.00,26.48,694.30
50,Litoral,"2025-09-26 19:19:43",478.73,NULL,NULL,93880.24,55.00,26.48,694.30
51,Litoral,"2025-09-26 19:19:48",462.60,NULL,NULL,93880.08,55.00,26.47,694.31
52,Litoral,"2025-09-26 19:19:48",462.60,NULL,NULL,93880.08,55.00,26.47,694.31
53,Litoral,"2025-09-26 19:19:53",460.33,NULL,NULL,93881.13,54.00,26.48,694.22
54,Litoral,"2025-09-26 19:19:53",460.33,NULL,NULL,93881.13,54.00,26.48,694.22
55,Litoral,"2025-09-26 19:19:59",461.47,NULL,NULL,93882.99,55.00,26.49,694.05
56,Litoral,"2025-09-26 19:19:59",461.47,NULL,NULL,93882.99,55.00,26.49,694.05
57,Litoral,"2025-09-26 19:20:03",464.88,NULL,NULL,93883.61,54.00,26.48,694.00
58,Litoral,"2025-09-26 19:20:03",464.88,NULL,NULL,93883.61,54.00,26.48,694.00
59,Litoral,"2025-09-26 19:20:09",451.35,NULL,NULL,93886.09,54.00,26.46,693.78
60,Litoral,"2025-09-26 19:20:09",451.35,NULL,NULL,93886.09,54.00,26.46,693.78
61,Litoral,"2025-09-26 19:20:13",455.82,NULL,NULL,93881.81,54.00,26.45,694.16
62,Litoral,"2025-09-26 19:20:13",455.82,NULL,NULL,93881.81,54.00,26.45,694.16
63,Litoral,"2025-09-26 19:20:19",451.35,NULL,NULL,93884.42,54.00,26.43,693.93
64,Litoral,"2025-09-26 19:20:19",451.35,NULL,NULL,93884.42,54.00,26.43,693.93
65,Litoral,"2025-09-26 19:20:23",452.46,NULL,NULL,93880.09,54.00,26.42,694.31
66,Litoral,"2025-09-26 19:20:23",452.46,NULL,NULL,93880.09,54.00,26.42,694.31
67,Litoral,"2025-09-26 19:20:29",460.33,NULL,NULL,93880.87,54.00,26.43,694.24
68,Litoral,"2025-09-26 19:20:29",460.33,NULL,NULL,93880.87,54.00,26.43,694.24
69,Litoral,"2025-09-26 19:20:34",456.95,NULL,NULL,93882.31,54.00,26.42,694.11
70,Litoral,"2025-09-26 19:20:34",456.95,NULL,NULL,93882.31,54.00,26.42,694.11
71,Litoral,"2025-09-26 19:20:39",458.07,NULL,NULL,93878.76,54.00,26.42,694.43
72,Litoral,"2025-09-26 19:20:39",458.07,NULL,NULL,93878.76,54.00,26.42,694.43
73,Litoral,"2025-09-26 19:20:44",453.58,NULL,NULL,93883.66,54.00,26.42,693.99
74,Litoral,"2025-09-26 19:20:44",453.58,NULL,NULL,93883.66,54.00,26.42,693.99
75,Litoral,"2025-09-26 19:20:49",453.58,NULL,NULL,93881.62,54.00,26.42,694.17
76,Litoral,"2025-09-26 19:20:49",453.58,NULL,NULL,93881.62,54.00,26.42,694.17
77,Litoral,"2025-09-26 19:20:54",460.33,NULL,NULL,93884.98,54.00,26.42,693.88
78,Litoral,"2025-09-26 19:20:54",460.33,NULL,NULL,93884.98,54.00,26.42,693.88
79,Litoral,"2025-09-26 19:20:59",439.22,NULL,NULL,93881.91,54.00,26.41,694.15
80,Litoral,"2025-09-26 19:20:59",439.22,NULL,NULL,93881.91,54.00,26.41,694.15
81,Litoral,"2025-09-26 19:21:04",444.70,NULL,NULL,93885.81,54.00,26.42,693.80
82,Litoral,"2025-09-26 19:21:04",444.70,NULL,NULL,93885.81,54.00,26.42,693.80
83,Litoral,"2025-09-26 19:21:09",446.91,NULL,NULL,93885.45,54.00,26.41,693.84
84,Litoral,"2025-09-26 19:21:09",446.91,NULL,NULL,93885.45,54.00,26.41,693.84
85,Litoral,"2025-09-26 19:21:14",451.35,NULL,NULL,93886.45,54.00,26.41,693.75
86,Litoral,"2025-09-26 19:21:14",451.35,NULL,NULL,93886.45,54.00,26.41,693.75
87,Litoral,"2025-09-26 19:21:19",445.80,NULL,NULL,93882.73,54.00,26.40,694.08
88,Litoral,"2025-09-26 19:21:19",445.80,NULL,NULL,93882.73,54.00,26.40,694.08
89,Litoral,"2025-09-26 19:21:24",438.13,NULL,NULL,93882.73,54.00,26.40,694.08
90,Litoral,"2025-09-26 19:21:24",438.13,NULL,NULL,93882.73,54.00,26.40,694.08
91,Litoral,"2025-09-26 19:21:30",444.70,NULL,NULL,93884.37,54.00,26.39,693.93
92,Litoral,"2025-09-26 19:21:30",444.70,NULL,NULL,93884.37,54.00,26.39,693.93
93,Litoral,"2025-09-26 19:21:34",453.58,NULL,NULL,93884.73,54.00,26.40,693.90
94,Litoral,"2025-09-26 19:21:34",453.58,NULL,NULL,93884.73,54.00,26.40,693.90
95,Litoral,"2025-09-26 19:21:40",453.58,NULL,NULL,93881.41,54.00,26.41,694.19
96,Litoral,"2025-09-26 19:21:40",453.58,NULL,NULL,93881.41,54.00,26.41,694.19
97,Litoral,"2025-09-26 19:21:44",452.46,NULL,NULL,93881.07,54.00,26.41,694.22
98,Litoral,"2025-09-26 19:21:44",452.46,NULL,NULL,93881.07,54.00,26.41,694.22
99,Litoral,"2025-09-26 19:21:50",449.12,NULL,NULL,93883.70,54.00,26.43,693.99
100,Litoral,"2025-09-26 19:21:50",449.12,NULL,NULL,93883.70,54.00,26.43,693.99
101,Litoral,"2025-09-26 19:21:54",460.33,NULL,NULL,93883.73,54.00,26.43,693.99
102,Litoral,"2025-09-26 19:21:54",460.33,NULL,NULL,93883.73,54.00,26.43,693.99
103,Litoral,"2025-09-26 19:22:00",438.13,NULL,NULL,93885.59,54.00,26.43,693.82
104,Litoral,"2025-09-26 19:22:00",438.13,NULL,NULL,93885.59,54.00,26.43,693.82
105,Litoral,"2025-09-26 19:22:05",453.58,NULL,NULL,93885.98,54.00,26.44,693.79
106,Litoral,"2025-09-26 19:22:05",453.58,NULL,NULL,93885.98,54.00,26.44,693.79
