Titulo,Classificacao,Ano
1. Um Sonho de Liberdade,1994,1994
2. O Poderoso Chefão,1972,1972
3. Batman: O Cavaleiro das Trevas,2008,2008
4. O Poderoso Chefão: Parte II,1974,1974
5. 12 Homens e uma Sentença,1957,1957
6. O Senhor dos Anéis: O Retorno do Rei,2003,2003
7. A Lista de Schindler,1993,1993
8. Pulp Fiction: Tempo de Violência,1994,1994
9. O Senhor dos Anéis: A Sociedade do Anel,2001,2001
10. Três Homens em Conflito,1966,1966
11. Forrest Gump: O Contador de Histórias,1994,1994
12. O Senhor dos Anéis: As Duas Torres,2002,2002
13. Clube da Luta,1999,1999
14. A Origem,2010,2010
15. Star Wars: Episódio V - O Império Contra-Ataca,1980,1980
16. Matrix,1999,1999
17. Os Bons Companheiros,1990,1990
18. Interestelar,2014,2014
19. Um Estranho no Ninho,1975,1975
20. Seven - Os Sete Crimes Capitais,1995,1995
21. A Felicidade Não se Compra,1946,1946
22. O Silêncio dos Inocentes,1991,1991
23. Os Sete Samurais,1954,1954
24. O Resgate do Soldado Ryan,1998,1998
25. Cidade de Deus,2002,2002
26. À Espera de um Milagre,1999,1999
27. A Vida é Bela,1997,1997
28. O Exterminador do Futuro 2: O Julgamento Final,1991,1991
29. Star Wars: Episódio IV - Uma Nova Esperança,1977,1977
30. De Volta para o Futuro,1985,1985
31. A Viagem de Chihiro,2001,2001
32. O Pianista,2002,2002
33. Gladiador,2000,2000
34. Parasita,2019,2019
35. Psicose,1960,1960
36. O Rei Leão,1994,1994
37. Túmulo dos Vagalumes,1988,1988
38. Os Infiltrados,2006,2006
39. Whiplash: Em Busca da Perfeição,2014,2014
40. Harakiri,1962,1962
41. A Outra História Americana,1998,1998
42. O Grande Truque,2006,2006
43. O Profissional,1994,1994
44. Homem-Aranha: Através do Aranhaverso,2023,2023
45. Casablanca,1942,1942
46. Os Suspeitos,1995,1995
47. Intocáveis,2011,2011
48. Cinema Paradiso,1988,1988
49. Alien - O 8º Passageiro,1979,1979
50. Tempos Modernos,1936,1936
51. Janela Indiscreta,1954,1954
52. Era uma Vez no Oeste,1968,1968
53. Django Livre,2012,2012
54. Luzes da Cidade,1931,1931
55. Apocalypse Now,1979,1979
56. Duna: Parte 2,2024,2024
57. WALL·E,2008,2008
58. Amnésia,2000,2000
59. Os Caçadores da Arca Perdida,1981,1981
60. A Vida dos Outros,2006,2006
61. Vingadores: Guerra Infinita,2018,2018
62. Crepúsculo dos Deuses,1950,1950
63. Homem-Aranha: No Aranhaverso,2018,2018
64. Testemunha de Acusação,1957,1957
65. Glória Feita de Sangue,1957,1957
66. O Iluminado,1980,1980
67. O Grande Ditador,1940,1940
68. Repetente,2023,2023
69. Aliens: O Resgate,1986,1986
70. Bastardos Inglórios,2009,2009
71. Batman: O Cavaleiro das Trevas Ressurge,2012,2012
72. Viva: A Vida é uma Festa,2017,2017
73. Amadeus,1984,1984
74. Toy Story,1995,1995
75. Vingadores: Ultimato,2019,2019
76. Gênio Indomável,1997,1997
77. Oldboy,2003,2003
78. Dr. Fantástico,1964,1964
79. O Barco: Inferno no Mar,1981,1981
80. Beleza Americana,1999,1999
81. Coração Valente,1995,1995
82. Princesa Mononoke,1997,1997
83. Seu Nome,2016,2016
84. Céu e Inferno,1963,1963
85. 3 Idiotas,2009,2009
86. Coringa,2019,2019
87. Era uma Vez na América,1984,1984
88. Hababam Sinifi Sinifta Kaldi,1975,1975
89. Cafarnaum,2018,2018
90. Cantando na Chuva,1952,1952
91. Vá e Veja,1985,1985
92. Réquiem para um Sonho,2000,2000
93. Toy Story 3,2010,2010
